contig,chr,cM
IWGSC_CSS_1BS_scaff_1529189,2B,0
IWGSC_CSS_1BS_scaff_3436781,2B,0
IWGSC_CSS_2BS_scaff_1085238,2B,0
IWGSC_CSS_2BS_scaff_1172235,2B,0
IWGSC_CSS_2BS_scaff_1172260,2B,0
IWGSC_CSS_2BS_scaff_1265247,2B,0
IWGSC_CSS_2BS_scaff_133160,2B,0
IWGSC_CSS_2BS_scaff_144932,2B,0
IWGSC_CSS_2BS_scaff_1562813,2B,0
IWGSC_CSS_2BS_scaff_1817842,2B,0
IWGSC_CSS_2BS_scaff_1848453,2B,0
IWGSC_CSS_2BS_scaff_2150519,2B,0
IWGSC_CSS_2BS_scaff_2269657,2B,0
IWGSC_CSS_2BS_scaff_2292931,2B,0
IWGSC_CSS_2BS_scaff_2507260,2B,0
IWGSC_CSS_2BS_scaff_2552492,2B,0
IWGSC_CSS_2BS_scaff_2889273,2B,0
IWGSC_CSS_2BS_scaff_3099691,2B,0
IWGSC_CSS_2BS_scaff_3198868,2B,0
IWGSC_CSS_2BS_scaff_3332091,2B,0
IWGSC_CSS_2BS_scaff_3582385,2B,0
IWGSC_CSS_2BS_scaff_3640830,2B,0
IWGSC_CSS_2BS_scaff_3660421,2B,0
IWGSC_CSS_2BS_scaff_3674605,2B,0
IWGSC_CSS_2BS_scaff_392483,2B,0
IWGSC_CSS_2BS_scaff_3934025,2B,0
IWGSC_CSS_2BS_scaff_3997937,2B,0
IWGSC_CSS_2BS_scaff_4057759,2B,0
IWGSC_CSS_2BS_scaff_4414672,2B,0
IWGSC_CSS_2BS_scaff_4459948,2B,0
IWGSC_CSS_2BS_scaff_4512788,2B,0
IWGSC_CSS_2BS_scaff_4529934,2B,0
IWGSC_CSS_2BS_scaff_46527,2B,0
IWGSC_CSS_2BS_scaff_510365,2B,0
IWGSC_CSS_2BS_scaff_5126956,2B,0
IWGSC_CSS_2BS_scaff_5129346,2B,0
IWGSC_CSS_2BS_scaff_5134085,2B,0
IWGSC_CSS_2BS_scaff_5135421,2B,0
IWGSC_CSS_2BS_scaff_5138118,2B,0
IWGSC_CSS_2BS_scaff_5138613,2B,0
IWGSC_CSS_2BS_scaff_5140664,2B,0
IWGSC_CSS_2BS_scaff_5141725,2B,0
IWGSC_CSS_2BS_scaff_5141799,2B,0
IWGSC_CSS_2BS_scaff_5145047,2B,0
IWGSC_CSS_2BS_scaff_5154840,2B,0
IWGSC_CSS_2BS_scaff_5154853,2B,0
IWGSC_CSS_2BS_scaff_5155396,2B,0
IWGSC_CSS_2BS_scaff_5155520,2B,0
IWGSC_CSS_2BS_scaff_5155533,2B,0
IWGSC_CSS_2BS_scaff_5155561,2B,0
IWGSC_CSS_2BS_scaff_5155750,2B,0
IWGSC_CSS_2BS_scaff_5155770,2B,0
IWGSC_CSS_2BS_scaff_5156539,2B,0
IWGSC_CSS_2BS_scaff_5156552,2B,0
IWGSC_CSS_2BS_scaff_5156657,2B,0
IWGSC_CSS_2BS_scaff_5157191,2B,0
IWGSC_CSS_2BS_scaff_5157687,2B,0
IWGSC_CSS_2BS_scaff_5157765,2B,0
IWGSC_CSS_2BS_scaff_5157878,2B,0
IWGSC_CSS_2BS_scaff_5157915,2B,0
IWGSC_CSS_2BS_scaff_5158381,2B,0
IWGSC_CSS_2BS_scaff_5158400,2B,0
IWGSC_CSS_2BS_scaff_5158844,2B,0
IWGSC_CSS_2BS_scaff_5158894,2B,0
IWGSC_CSS_2BS_scaff_5158942,2B,0
IWGSC_CSS_2BS_scaff_5159080,2B,0
IWGSC_CSS_2BS_scaff_5159233,2B,0
IWGSC_CSS_2BS_scaff_5159721,2B,0
IWGSC_CSS_2BS_scaff_5159741,2B,0
IWGSC_CSS_2BS_scaff_5159755,2B,0
IWGSC_CSS_2BS_scaff_5160165,2B,0
IWGSC_CSS_2BS_scaff_5160170,2B,0
IWGSC_CSS_2BS_scaff_5160315,2B,0
IWGSC_CSS_2BS_scaff_5160875,2B,0
IWGSC_CSS_2BS_scaff_5160977,2B,0
IWGSC_CSS_2BS_scaff_5161193,2B,0
IWGSC_CSS_2BS_scaff_5161284,2B,0
IWGSC_CSS_2BS_scaff_5161686,2B,0
IWGSC_CSS_2BS_scaff_5161992,2B,0
IWGSC_CSS_2BS_scaff_5162251,2B,0
IWGSC_CSS_2BS_scaff_5162416,2B,0
IWGSC_CSS_2BS_scaff_5162480,2B,0
IWGSC_CSS_2BS_scaff_5162655,2B,0
IWGSC_CSS_2BS_scaff_5162656,2B,0
IWGSC_CSS_2BS_scaff_5162778,2B,0
IWGSC_CSS_2BS_scaff_5163076,2B,0
IWGSC_CSS_2BS_scaff_5163156,2B,0
IWGSC_CSS_2BS_scaff_5163355,2B,0
IWGSC_CSS_2BS_scaff_5163445,2B,0
IWGSC_CSS_2BS_scaff_5163468,2B,0
IWGSC_CSS_2BS_scaff_5163619,2B,0
IWGSC_CSS_2BS_scaff_5163655,2B,0
IWGSC_CSS_2BS_scaff_5163791,2B,0
IWGSC_CSS_2BS_scaff_5164673,2B,0
IWGSC_CSS_2BS_scaff_5164718,2B,0
IWGSC_CSS_2BS_scaff_5164776,2B,0
IWGSC_CSS_2BS_scaff_5164974,2B,0
IWGSC_CSS_2BS_scaff_5164996,2B,0
IWGSC_CSS_2BS_scaff_5165281,2B,0
IWGSC_CSS_2BS_scaff_5166039,2B,0
IWGSC_CSS_2BS_scaff_5166217,2B,0
IWGSC_CSS_2BS_scaff_5166406,2B,0
IWGSC_CSS_2BS_scaff_5166772,2B,0
IWGSC_CSS_2BS_scaff_5166983,2B,0
IWGSC_CSS_2BS_scaff_5167607,2B,0
IWGSC_CSS_2BS_scaff_5168116,2B,0
IWGSC_CSS_2BS_scaff_5168480,2B,0
IWGSC_CSS_2BS_scaff_5168752,2B,0
IWGSC_CSS_2BS_scaff_5169020,2B,0
IWGSC_CSS_2BS_scaff_5169257,2B,0
IWGSC_CSS_2BS_scaff_5169397,2B,0
IWGSC_CSS_2BS_scaff_5169648,2B,0
IWGSC_CSS_2BS_scaff_5169740,2B,0
IWGSC_CSS_2BS_scaff_5169843,2B,0
IWGSC_CSS_2BS_scaff_5170507,2B,0
IWGSC_CSS_2BS_scaff_5170544,2B,0
IWGSC_CSS_2BS_scaff_5170801,2B,0
IWGSC_CSS_2BS_scaff_5171156,2B,0
